AttackIP,Country,AssetIP,Label,Attacknums,level,effect,disposition,starttime,endtime
10.146.236.10,CN,10.4.34.182,WebLA,2,2,0,0,2022/6/20 15:49,2022/6/20 15:53
10.146.227.78,CN,10.1.195.142,WeakPwd,1,1,0,0,2022/6/20 15:37,2022/6/20 15:37
26.49.148.111,CN,10.1.105.9,WebLA,2,2,0,0,2022/6/20 15:30,2022/6/20 15:30
10.136.18.219,-,10.148.228.8,Scanprobe,3,2,0,0,2022/6/20 15:16,2022/6/20 15:29
10.148.232.210,CN,10.1.105.9,WebLA,2,2,0,0,2022/6/20 15:10,2022/6/20 15:10
10.146.228.165,CN,10.1.150.246,DirectoryTA,1,1,1,0,2022/6/20 14:43,2022/6/20 14:43
21.48.70.26,US,10.137.242.174,BrowserLA,1,1,0,0,2022/6/20 14:34,2022/6/20 14:34
10.146.226.105,CN,10.1.150.246,Scanprobe,1,1,0,0,2022/6/20 14:33,2022/6/20 14:33
26.49.148.76,CN,10.137.249.30,AppLA,2,1,0,0,2022/6/20 14:32,2022/6/20 14:32
10.146.232.97,CN,10.1.105.9,WebLA,2,2,0,0,2022/6/20 14:26,2022/6/20 14:26
10.148.235.24,CN,10.137.249.30,AppLA,3,1,0,0,2022/6/20 14:25,2022/6/20 14:30
10.148.224.65,CN,10.1.105.9,WebLA,1,2,0,0,2022/6/20 14:21,2022/6/20 14:21
10.146.229.76,CN,10.33.3.52,SQLinject,1,2,0,0,2022/6/20 14:18,2022/6/20 14:18
10.148.229.238,CN,10.137.249.30,AppLA,1,1,0,0,2022/6/20 14:16,2022/6/20 14:17
10.146.226.12,CN,10.33.3.52,SQLinject,5,2,0,0,2022/6/20 14:14,2022/6/20 16:48
10.146.226.1,CN,10.33.3.52,SQLinject,2,2,0,0,2022/6/20 14:07,2022/6/20 14:34
10.146.231.25,CN,25.218.152.188,SQLinject,1,1,0,0,2022/6/20 14:04,2022/6/20 14:04
10.146.225.122,CN,10.33.3.52,SQLinject,2,2,0,0,2022/6/20 13:56,2022/6/20 16:48
10.148.239.5,CN,10.137.249.30,AppLA,2,1,0,0,2022/6/20 13:52,2022/6/20 13:52
10.148.238.144,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 13:11,2022/6/20 13:11
10.148.238.64,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 13:09,2022/6/20 13:09
10.148.237.186,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 13:02,2022/6/20 13:02
10.148.237.90,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 12:57,2022/6/20 12:57
10.146.230.63,CN,25.218.42.142,SQLinject,1,1,0,0,2022/6/20 12:37,2022/6/20 12:37
26.49.148.54,CN,10.137.249.30,AppLA,2,1,0,0,2022/6/20 12:23,2022/6/20 12:24
10.146.230.97,CN,25.218.42.142,SQLinject,2,1,0,0,2022/6/20 12:20,2022/6/20 12:21
25.218.42.142,UK,10.146.231.138,TrojanCom,2,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.137.241.201,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.146.225.44,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.146.230.115,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.146.231.114,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.146.236.10,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.148.235.38,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,10.148.239.159,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,26.49.140.211,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,26.49.148.19,InfLeak,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
25.218.42.142,UK,26.49.148.21,TrojanCom,1,3,0,0,2022/6/20 12:18,2022/6/20 16:12
26.49.152.139,CN,10.1.105.9,WebLA,1,2,0,0,2022/6/20 12:07,2022/6/20 12:07
10.147.242.126,-,10.146.229.121,Scanprobe,2,2,0,0,2022/6/20 11:51,2022/6/20 11:51
26.49.148.53,CN,10.137.249.30,AppLA,1,1,0,0,2022/6/20 11:49,2022/6/20 11:49
10.137.241.55,CN,10.137.252.3,HiddenTunnelCom,2,1,0,0,2022/6/20 11:17,2022/6/20 11:21
10.146.235.179,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 11:13,2022/6/20 11:13
10.148.233.65,CN,10.137.249.30,AppLA,2,1,0,0,2022/6/20 11:13,2022/6/20 11:14
10.146.235.170,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 11:12,2022/6/20 11:12
26.49.152.132,CN,10.137.249.30,AppLA,1,1,0,0,2022/6/20 11:10,2022/6/20 11:10
10.148.231.238,CN,10.146.236.128,BrowserLA,3,1,0,0,2022/6/20 11:04,2022/6/20 11:15
10.146.227.39,CN,10.4.83.90,DirectoryTA,1,1,0,0,2022/6/20 11:04,2022/6/20 11:04
10.146.227.55,CN,10.4.83.90,DirectoryTA,1,1,0,0,2022/6/20 11:03,2022/6/20 11:03
10.137.240.22,CN,10.137.252.3,HiddenTunnelCom,11,1,0,0,2022/6/20 10:56,2022/6/20 16:51
10.146.230.16,CN,25.218.42.142,SQLinject,2,1,0,0,2022/6/20 10:52,2022/6/20 11:07
26.49.148.12,CN,10.137.252.3,HiddenTunnelCom,8,1,0,0,2022/6/20 10:48,2022/6/20 11:23
10.146.226.13,CN,10.33.3.52,SQLinject,7,2,0,0,2022/6/20 10:39,2022/6/20 16:50
10.136.233.241,-,26.49.149.52,FileLA,1,2,0,0,2022/6/20 10:38,2022/6/20 10:38
26.49.150.100,CN,10.137.252.3,TrojanCom,6,2,0,0,2022/6/20 10:28,2022/6/20 14:58
26.49.150.100,CN,10.137.252.3,HiddenTunnelCom,1,2,0,0,2022/6/20 10:28,2022/6/20 14:58
10.146.225.121,CN,10.33.3.52,SQLinject,5,2,0,0,2022/6/20 10:07,2022/6/20 15:12
10.146.237.33,CN,10.137.252.3,Phishingsite,1,2,0,0,2022/6/20 10:05,2022/6/20 10:05
10.146.224.133,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 9:55,2022/6/20 9:55
10.146.224.151,CN,10.148.231.209,InfLeak,1,1,0,0,2022/6/20 9:53,2022/6/20 9:53
10.146.224.74,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 9:52,2022/6/20 9:52
10.146.225.112,CN,10.33.3.52,SQLinject,5,2,0,0,2022/6/20 9:39,2022/6/20 17:03
10.137.246.204,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 9:37,2022/6/20 9:37
10.137.246.203,CN,10.148.231.209,webshellinject,1,2,1,0,2022/6/20 9:37,2022/6/20 9:37
10.146.230.38,CN,25.218.42.142,SQLinject,1,1,0,0,2022/6/20 9:28,2022/6/20 9:28
10.137.242.133,CN,10.4.34.182,WebLA,1,2,0,0,2022/6/20 9:27,2022/6/20 9:27
10.146.226.177,CN,10.33.3.52,SQLinject,4,2,0,0,2022/6/20 9:18,2022/6/20 14:41
10.146.226.27,CN,10.33.3.52,SQLinject,3,2,0,0,2022/6/20 9:15,2022/6/20 13:58
10.33.1.109,-,10.148.228.46,Scanprobe,1,2,0,0,2022/6/20 9:15,2022/6/20 9:15
10.146.230.75,CN,10.33.3.52,SQLinject,3,2,0,0,2022/6/20 9:08,2022/6/20 16:33
10.146.230.75,CN,25.218.42.142,SQLinject,3,2,0,0,2022/6/20 9:08,2022/6/20 16:33
10.146.231.10,CN,10.33.3.52,SQLinject,1,2,0,0,2022/6/20 9:05,2022/6/20 9:07
10.146.231.10,CN,10.33.3.52,WebLA,1,2,0,0,2022/6/20 9:05,2022/6/20 9:07
10.137.242.174,CN,10.4.34.182,WebLA,2,2,0,0,2022/6/20 8:56,2022/6/20 14:30
10.137.242.174,CN,10.1.105.9,WebLA,1,2,0,0,2022/6/20 8:56,2022/6/20 14:30
